Country,ScenarioLabel,TreatmentYear,PreferredConvention,Year,TreatedOutcome,SyntheticOutcome,GapLevel,GapPct
Chile,2011 placebo start,2011,False,2008,2215647.95,2217064.658951116,-1416.7089511156082,-0.06394106749294752
Chile,2011 placebo start,2011,False,2009,2185788.523,2174863.6426493707,10924.880350629333,0.49981415107967114
Chile,2011 placebo start,2011,False,2010,2200720.16,2204706.464605822,-3986.304605822079,-0.18113636973371838
Chile,2011 placebo start,2011,False,2011,2390392.714,2415936.6015804764,-25543.887580476236,-1.0686063185714778
Chile,2011 placebo start,2011,False,2012,2484540.292,2440096.1847155946,44444.10728440527,1.7888261835604504
Chile,2011 placebo start,2011,False,2013,2595026.948,2623295.0488501973,-28268.100850197487,-1.0893182004134427
Chile,2011 placebo start,2011,False,2014,2797294.751,2911286.6241135523,-113991.87311355211,-4.075075501886291
Chile,2011 placebo start,2011,False,2015,3128744.949,3144335.279148114,-15590.330148113891,-0.49829341803961447
Chile,2011 placebo start,2011,False,2016,3153363.4950981685,3223858.5037605404,-70495.0086623719,-2.2355497161032902
Chile,2011 placebo start,2011,False,2017,3127655.629002725,3265269.169719273,-137613.54071654845,-4.399894267145629
Chile,2011 placebo start,2011,False,2018,3340806.7888052226,3412472.0065403343,-71665.21773511171,-2.1451470338020187
Chile,2011 placebo start,2011,False,2019,3279486.748841041,3414976.722629345,-135489.97378830425,-4.131438367183095
Chile,2011 placebo start,2011,False,2020,3176952.517283234,3235315.7106609065,-58363.193377672695,-1.8370810725110205
Chile,2011 placebo start,2011,False,2021,3426979.2132610865,3534376.9075744124,-107397.69431332592,-3.1338881163252554
Chile,2011 placebo start,2011,False,2022,3478686.753386885,3611600.17939025,-132913.42600336485,-3.8207931735721528
Chile,2011 placebo start,2011,False,2023,3479062.929101846,3596466.1039689304,-117403.17486708425,-3.374563129773368
New Zealand,2010 start,2010,False,2000,26604.0,26679.09532251859,-75.09532251859127,-0.2822707958148823
New Zealand,2010 start,2010,False,2001,27799.0,28382.505105190543,-583.505105190543,-2.0990147314311414
New Zealand,2010 start,2010,False,2002,29500.0,30050.386994303924,-550.3869943039244,-1.8657186247590658
New Zealand,2010 start,2010,False,2003,30895.0,30858.28672937767,36.71327062233104,0.11883240207907764
New Zealand,2010 start,2010,False,2004,32739.0,32768.79883314108,-29.79883314108156,-0.09101937487730706
New Zealand,2010 start,2010,False,2005,35268.0,34665.84495981383,602.1550401861678,1.7073694005505493
New Zealand,2010 start,2010,False,2006,36686.0,36687.76459458711,-1.7645945871117874,-0.004809994513197916
New Zealand,2010 start,2010,False,2007,38512.0,38196.23640222386,315.76359777613834,0.8199096327797526
New Zealand,2010 start,2010,False,2008,40998.0,41035.0444388561,-37.044438856100896,-0.0903566975367113
New Zealand,2010 start,2010,False,2009,41846.0,41822.71826510135,23.28173489865003,0.055636703385389355
New Zealand,2010 start,2010,False,2010,42420.0,42027.61810034351,392.3818996564878,0.9249926913165671
New Zealand,2010 start,2010,False,2011,44623.0,43866.67501116566,756.3249888343416,1.6949218762394767
New Zealand,2010 start,2010,False,2012,47514.0,45791.21411269959,1722.785887300408,3.625848986194401
New Zealand,2010 start,2010,False,2013,49482.0,46038.44394406633,3443.5560559336736,6.959209522520661
New Zealand,2010 start,2010,False,2014,54177.0,48353.21249542899,5823.78750457101,10.749557016023422
New Zealand,2010 start,2010,False,2015,55460.0,48845.52100638488,6614.478993615121,11.92657589905359
New Zealand,2010 start,2010,False,2016,55712.0,49900.964082949955,5811.035917050045,10.430492384136352
New Zealand,2010 start,2010,False,2017,56067.0,52675.53984424978,3391.4601557502174,6.048941722849835
New Zealand,2010 start,2010,False,2018,59214.0,56313.97803510854,2900.021964891457,4.897527552422496
New Zealand,2010 start,2010,False,2019,60963.0,58430.957530107655,2532.0424698923453,4.153408575516863
New Zealand,2010 start,2010,False,2020,63380.0,60097.602600974285,3282.3973990257145,5.178916691425868
New Zealand,2010 start,2010,False,2021,62198.0,61408.90183467993,789.0981653200724,1.2686873618445487
New Zealand,2010 start,2010,False,2022,67455.0,65921.87975387654,1533.1202461234643,2.272804456487235
New Zealand,2010 start,2010,False,2023,72620.0,70801.13004468817,1818.869955311835,2.5046405333404502
New Zealand,2011 start (preferred),2011,True,2000,26604.0,26612.237711028083,-8.23771102808314,-0.03096418218344287
New Zealand,2011 start (preferred),2011,True,2001,27799.0,28349.836797855038,-550.8367978550377,-1.9814986073421266
New Zealand,2011 start (preferred),2011,True,2002,29500.0,30048.438060986675,-548.4380609866748,-1.8591120711412705
New Zealand,2011 start (preferred),2011,True,2003,30895.0,30840.583179966015,54.41682003398455,0.17613471446507378
New Zealand,2011 start (preferred),2011,True,2004,32739.0,32822.391203659274,-83.39120365927374,-0.2547151826850965
