Country,AnalysisType,CandidateTreatmentYear,Year,Gap,RMSPE_Pre,RMSPE_Post,RMSPE_Ratio
Chile,placebo,1995,2020,528363.1760555035,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2021,595773.3638647194,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2022,658793.4413684476,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2023,605367.7071542838,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1996,1996,-16723.65453241556,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,1997,-120712.78100738372,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,1998,-152987.42768109334,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,1999,-165964.6382319741,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2000,-159771.18416759465,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2001,-122840.40706226556,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2002,-180001.18751351535,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2003,-153498.86739657703,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2004,-174917.0340062976,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2005,-80827.6464686552,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2006,-31731.698190178722,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2007,-147974.41312353034,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2008,-160822.6852287096,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2009,-112939.17190996977,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2010,-132203.12999109505,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2011,-208186.4281132631,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2012,-135269.50669277273,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2013,-296952.08232291276,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2014,-544099.2664131112,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2015,-439557.21102860104,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2016,-492179.4693246484,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2017,-672677.7978864582,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2018,-653971.4932446368,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2019,-750296.2213199367,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2020,-628168.9215204525,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2021,-685971.8856274365,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2022,-756463.3503723284,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1996,2023,-795189.0485915607,79632.84865616776,408510.2993887215,5.12992196414515
Chile,placebo,1997,1997,-140456.08958014194,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,1998,-170154.21166076092,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,1999,-177265.5960656926,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2000,-166831.38086010097,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2001,-136047.592604005,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2002,-201565.50630911463,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2003,-171294.409447568,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2004,-196788.06786804926,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2005,-101948.50878325896,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2006,-54816.62549462356,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2007,-167083.98848051718,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2008,-175638.15975195216,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2009,-130388.6006765198,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2010,-140572.89422904607,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2011,-218567.74515804276,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2012,-149562.1478952025,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2013,-337768.3358173054,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2014,-608931.0455296249,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2015,-527024.4507258041,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2016,-586106.2370619345,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2017,-779302.4479285162,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2018,-770157.1025579022,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2019,-869272.0260073827,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2020,-742971.5230513508,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2021,-813645.6252251631,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2022,-897575.1963211726,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1997,2023,-934958.6817824133,74634.92227776335,485732.3845401379,6.508111346755652
Chile,placebo,1998,1998,-116828.0875501365,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,1999,-143912.72402960202,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2000,-145682.33062756853,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2001,-95838.11651467765,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2002,-137665.8716942086,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2003,-117867.62464842736,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2004,-131048.96454024594,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2005,-43688.92675573751,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2006,11923.809319754131,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2007,-115148.71971552167,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2008,-135842.5015520961,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2009,-82648.44888396328,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2010,-120039.63438881515,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2011,-190889.06852508895,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2012,-111065.26355933025,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2013,-209916.43693980016,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2014,-398772.88383553317,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2015,-243608.50761042442,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2016,-280890.85176601773,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2017,-430880.68064734107,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2018,-387467.45225946745,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2019,-475631.58710996946,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2020,-361481.8996332786,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2021,-388440.40542763844,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2022,-427057.34127049334,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1998,2023,-467587.15774860326,73446.8075156154,263444.57236273045,3.5868757441461288
Chile,placebo,1999,1999,-112208.45780360233,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2000,-119566.82337034051,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2001,-54161.98064517393,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2002,-79769.17134526884,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2003,-69822.02245350252,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2004,-76428.40155145805,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2005,13443.332477378193,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2006,67023.52910077153,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2007,-59494.45074864663,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2008,-85491.61781385541,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2009,-33387.15118290763,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2010,-84842.00070479605,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2011,-148592.60203961702,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2012,-58170.97245146381,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2013,-107235.24562169705,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2014,-239810.62272395007,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2015,-54525.392485829536,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2016,-84197.94015942747,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2017,-197427.26250362257,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2018,-139703.88632174022,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2019,-222350.27016473096,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2020,-124859.81814679643,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2021,-137968.34466125164,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2022,-152131.0943677919,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,1999,2023,-193218.32736280886,71648.77439924168,123013.07406857422,1.7168901366423956
Chile,placebo,2000,2000,-109175.72639430757,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2001,-35113.19210629654,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2002,-49304.81483822479,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2003,-44779.016054217005,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2004,-46074.757450776175,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2005,43608.66066935938,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2006,99025.96433629887,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2007,-31710.362008199096,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2008,-63304.5714684776,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2009,-8346.949121016078,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2010,-71726.33848875016,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2011,-132489.34948020987,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2012,-36305.58289562259,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2013,-50196.92191838706,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2014,-149985.96889499715,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2015,64190.27437523194,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2016,42627.14029325638,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2017,-52342.370554754045,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2018,17436.714092714712,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2019,-61535.06571041467,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2020,29339.01557801012,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2021,32146.38499952387,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2022,35776.89695205027,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2000,2023,-6874.410292586312,71858.05182838523,65039.32909438386,0.9051084386439231
Chile,placebo,2001,2001,-18829.00114632002,72861.71679572006,110177.56776911738,1.5121461943865324
Chile,placebo,2001,2002,-20920.700646996498,72861.71679572006,110177.56776911738,1.5121461943865324
Chile,placebo,2001,2003,-21838.67616236396,72861.71679572006,110177.56776911738,1.5121461943865324
Chile,placebo,2001,2004,-17613.650816808222,72861.71679572006,110177.56776911738,1.5121461943865324
Chile,placebo,2001,2005,73229.36067838757,72861.71679572006,110177.56776911738,1.5121461943865324
Chile,placebo,2001,2006,130420.22074169852,72861.71679572006,110177.56776911738,1.5121461943865324
Chile,placebo,2001,2007,-4724.65398941515,72861.71679572006,110177.56776911738,1.5121461943865324
Chile,placebo,2001,2008,-42768.212219712324,72861.71679572006,110177.56776911738,1.5121461943865324
